Posição,Jogador,País,Posição Campo,Pedidos de bola,Pedidos atrás,Pedidos entre,Pedidos na frente,Pedidos dentro da forma coletiva,Pedidos fora da forma coletiva,Recepções atrás,Recepções entre as linhas defensiva e de meio-campo,Recepções sob pressão,Participações do jogador
357,Pervis Estupinan,ECU,DF,41,23,8,10,19,22,3,20,17,115
357,Miguel Almiron,PAR,MF,41,8,27,6,13,28,0,13,22,82
357,Liberato Cacace,NZL,DF,41,17,21,3,8,33,0,17,32,120
357,Manuel Akanji,SUI,DF,41,0,1,40,18,23,1,3,48,525
357,Grant Hanley,SCO,DF,41,0,0,41,12,29,0,1,14,206
365,Brandon Mechele,BEL,DF,40,5,2,33,20,20,1,3,22,302
365,Manu Kone,FRA,MF,40,0,9,31,28,12,0,2,26,157
365,Alan Franco,ECU,MF,40,6,10,24,9,31,0,4,22,238
365,Jacob Shaffelburg,CAN,MF,40,14,18,8,8,32,4,16,10,95
365,Antoine Semenyo,GHA,MF,40,23,16,1,25,15,2,24,24,74
365,Ghislain Konan,CIV,DF,40,12,14,14,9,31,2,4,45,200
365,Jayden Adams,RSA,MF,40,10,19,11,31,9,0,11,20,92
365,Finn Surman,NZL,DF,40,0,0,40,12,28,0,3,21,210
365,Sead Kolasinac,BIH,DF,40,17,10,13,11,29,4,17,79,304
365,Diney Borges,CPV,DF,40,1,0,39,22,18,0,1,22,158
365,Marko Farji,IRQ,FW,40,19,19,2,9,31,2,5,17,36
376,Marquinhos,BRA,DF,39,1,0,38,19,20,0,3,21,501
376,Casemiro,BRA,MF,39,0,15,24,31,8,0,3,32,243
376,Joshua Kimmich,GER,DF,39,4,10,25,9,30,1,6,30,326
376,Denzel Dumfries,NED,DF,39,19,15,5,6,33,5,10,16,165
376,Ivan Sunjic,BIH,MF,39,0,11,28,28,11,0,3,30,182
376,El Hadji Malick Diouf,SEN,DF,39,17,15,7,10,29,1,15,16,160
382,Piero Hincapie,ECU,DF,38,19,13,6,13,25,3,22,21,229
382,Kim Seunggyu,KOR,GK,38,0,0,38,27,11,0,0,7,230
382,Sultan Albrake,QAT,DF,38,14,10,14,10,28,4,8,11,89
382,Yoane Wissa,COD,FW,38,17,16,5,28,10,0,17,33,86
382,Kristoffer Ajer,NOR,DF,38,2,1,35,23,15,0,2,18,209
382,Marco Pasalic,CRO,FW,38,20,14,4,8,30,5,29,29,100
382,Mateo Kovacic,CRO,MF,38,1,8,29,25,13,0,4,23,202
389,Teun Koopmeiners,NED,MF,37,8,11,18,23,14,0,3,5,64
389,Ramy Rabia,EGY,DF,37,2,0,35,24,13,0,0,6,120
389,Laros Duarte,CPV,MF,37,2,29,6,23,14,0,8,17,45
392,Nelson Semedo,POR,DF,36,15,15,6,23,13,3,6,16,124
392,Ezri Konsa,ENG,DF,36,1,2,33,15,21,0,1,21,392
392,Ramiz Zerrouki,ALG,MF,36,1,6,29,32,4,1,1,32,156
392,Abdullah Alkhaibari,KSA,MF,36,1,15,20,25,11,0,3,20,97
392,Nabil Bentaleb,ALG,MF,36,0,10,26,31,5,0,3,28,214
392,Besfort Zeneli,SWE,MF,36,9,18,9,23,13,0,6,13,51
392,Merih Demiral,TUR,DF,36,17,4,15,19,17,2,10,26,273
399,Soufiane Rahimi,MAR,FW,35,23,12,0,28,7,5,11,15,31
399,Joao Cancelo,POR,DF,35,13,9,13,12,23,3,24,33,243
401,William Saliba,FRA,DF,34,0,0,34,16,18,1,1,12,275
401,Nico Williams,ESP,FW,34,22,9,3,13,21,1,9,8,36
401,Yeremy Pino,ESP,FW,34,21,10,3,19,15,1,19,10,48
401,Gabriel Magalhaes,BRA,DF,34,0,2,32,16,18,0,1,18,528
401,Alexander Schlager,AUT,GK,34,0,0,34,24,10,0,0,2,118
401,Jose Cordoba,PAN,DF,34,0,2,32,22,12,0,4,22,309
401,Sebastian Berhalter,USA,MF,34,4,15,15,27,7,0,4,19,78
401,Fabinho,BRA,MF,34,0,12,22,29,5,0,1,10,89
409,Johan Vasquez,MEX,DF,33,0,3,30,8,25,0,3,18,276
409,Pedro Porro,ESP,DF,33,18,9,6,11,22,2,16,34,168
409,Leandro Bacuna,CUW,MF,33,2,18,13,22,11,0,16,39,185
409,Renato Veiga,POR,DF,33,1,0,32,8,25,0,0,13,321
409,Chemsdine Talbi,MAR,MF,33,20,11,2,8,25,0,8,6,36
409,Luc De Fougerolles,CAN,DF,33,4,3,26,17,16,1,2,18,280
409,Nathan Saliba,CAN,MF,33,4,9,20,17,16,2,6,27,149
409,Kim Minjae,KOR,DF,33,0,0,33,20,13,0,2,43,459
409,Mohammed Abu Alshamat,KSA,DF,33,8,18,7,13,20,1,21,21,95
409,Pico Lopes,CPV,DF,33,1,5,27,16,17,0,1,23,166
419,Alireza Jahanbakhsh,IRN,MF,32,13,13,6,19,13,0,6,9,28
419,Issa Laye,QAT,DF,32,1,8,23,15,17,0,5,22,202
419,Ehsan Haddad,JOR,DF,32,6,18,8,2,30,0,15,27,111
419,Julian Alvarez,ARG,FW,32,12,14,6,22,10,1,13,15,43
419,Guillermo Martinez,MEX,FW,32,18,14,0,29,3,0,13,14,32
419,Alan Minda,ECU,MF,32,16,16,0,12,20,2,10,14,43
419,Azizjon Ganiev,UZB,MF,32,6,22,4,12,20,2,15,17,89
419,Mikel Merino,ESP,MF,32,12,18,2,21,11,0,15,15,57
419,Ange Yoan Bonny,CIV,FW,32,17,15,0,27,5,5,21,28,53
419,Charles De Ketelaere,BEL,FW,32,19,13,0,22,10,4,14,16,51
419,Ryan Christie,SCO,MF,32,0,21,11,16,16,0,15,24,90
430,Brian Brobbey,NED,FW,31,28,3,0,27,4,4,7,8,18
430,Jonathan Tah,GER,DF,31,1,1,29,22,9,0,0,29,339
430,Rayan,BRA,FW,31,16,13,2,17,14,5,28,40,112
430,Abdulaziz Hatem,QAT,MF,31,5,13,13,26,5,2,5,20,65
430,Elye Wahi,CIV,FW,31,18,13,0,27,4,2,12,13,25
430,Yan Valery,TUN,DF,31,18,12,1,1,30,3,18,20,94
430,Mohamed Amine Ben Hmida,TUN,DF,31,1,0,30,10,21,0,0,13,167
438,Guela Doue,CIV,DF,30,5,17,8,9,21,0,7,33,134
438,Milad Mohammadi,IRN,DF,30,17,6,7,7,23,4,2,14,123
440,Arthur Masuaku,COD,DF,29,5,19,5,1,28,0,9,21,118
440,Harry Kane,ENG,FW,29,5,14,10,25,4,0,18,28,84
440,Carney Chukwuemeka,AUT,MF,29,8,16,5,19,10,1,12,13,41
440,Wilfried Singo,CIV,DF,29,4,7,18,6,23,1,5,43,203
440,Gustaf Lagerbielke,SWE,DF,29,0,5,24,2,27,0,7,14,213
445,Anthony Elanga,SWE,FW,28,17,11,0,15,13,4,7,15,35
445,Steven Moreira,CPV,DF,28,6,17,5,6,22,0,5,27,126
445,Takehiro Tomiyasu,JPN,DF,28,0,5,23,6,22,1,0,6,187
445,Ali Nemati,IRN,DF,28,3,1,24,12,16,0,3,11,171
445,Saman Ghoddos,IRN,MF,28,4,8,16,20,8,0,8,23,117
445,Juninho Bacuna,CUW,MF,28,9,17,2,14,14,2,24,56,133
445,Nico Gonzalez,ARG,MF,28,19,7,2,19,9,7,9,17,55
445,Frantzdy Pierrot,HAI,FW,28,19,8,1,22,6,1,23,25,48
445,Gideon Mensah,GHA,DF,28,9,7,12,3,25,2,4,11,158
445,Kevin Pina,CPV,MF,28,0,11,17,22,6,0,3,34,107
445,Caleb Yirenkyi,GHA,MF,28,12,6,10,18,10,2,11,41,101
445,Samir El Mourabet,MAR,MF,28,8,16,4,19,9,0,11,19,81
457,Marvin Senaya,GHA,DF,27,6,4,17,8,19,3,3,12,110
457,Kamaldeen Sulemana,GHA,FW,27,7,17,3,10,17,1,3,8,33
457,Sherel Floranus,CUW,DF,27,8,9,10,10,17,0,6,29,121
457,Lucas Bergvall,SWE,MF,27,6,11,10,21,6,3,8,19,74
457,Nico Elvedi,SUI,DF,27,1,7,19,10,17,0,2,45,482
457,Gabriel Gudmundsson,SWE,DF,27,9,7,11,3,24,1,11,28,122
457,Tomas Soucek,CZE,MF,27,3,16,8,20,7,0,5,17,99
457,Aimar Sher,IRQ,MF,27,1,8,18,23,4,0,2,2,49
457,Kou Itakura,JPN,DF,27,0,0,27,22,5,0,0,3,175
457,Ngalayel Mukau,COD,MF,27,3,14,10,10,17,0,14,20,83
457,Mohamed Amoura,ALG,FW,27,8,17,2,24,3,0,5,5,16
457,Adil Boulbina,ALG,FW,27,9,14,4,9,18,0,4,13,28
457,Boualem Khoukhi,QAT,DF,27,4,5,18,17,10,0,6,13,236
457,Kim Moonhwan,KOR,DF,27,14,9,4,10,17,0,7,1,49
457,Davinson Sanchez,COL,DF,27,0,1,26,7,20,0,4,25,289
457,Maxim De Cuyper,BEL,DF,27,13,7,7,12,15,3,14,22,167
457,Morgan Rogers,ENG,MF,27,10,12,5,18,9,1,8,11,32
457,Hans Vanaken,BEL,MF,27,3,14,10,17,10,1,10,10,72
457,Lyndon Dykes,SCO,FW,27,11,16,0,24,3,0,13,11,27
476,Andreas Schjelderup,NOR,MF,26,7,16,3,9,17,0,11,10,29
476,Nikola Katic,BIH,DF,26,0,1,25,6,20,0,4,27,262
476,Aaron Hickey,SCO,DF,26,2,9,15,1,25,0,2,5,83
476,Vladimir Darida,CZE,MF,26,9,13,4,16,10,0,5,17,42
476,Camilo Vargas,COL,GK,26,0,0,26,13,13,0,0,1,137
476,Mathias Olivera,URU,DF,26,2,5,19,6,20,0,8,22,388
476,Matias Galarza,PAR,MF,26,8,17,1,10,16,3,14,15,59
476,Youssef Amyn,IRQ,MF,26,15,10,1,18,8,0,5,8,16
476,Noah Sadiki,COD,MF,26,3,18,5,15,11,0,9,12,52
476,Abdullah Alhamddan,KSA,FW,26,7,16,3,19,7,0,9,10,24
476,Pedro Miguel,QAT,DF,26,8,4,14,13,13,3,3,29,172
476,Mohammad Abualnadi,JOR,DF,26,0,2,24,4,22,0,1,10,60
488,Alireza Beiranvand,IRN,GK,25,0,0,25,13,12,0,0,3,117
488,Feras Albrikan,KSA,FW,25,11,13,1,17,8,1,26,27,68
488,Saud Abdulhamid,KSA,DF,25,9,9,7,9,16,4,9,35,157
488,Marcus Rashford,ENG,FW,25,16,8,1,3,22,3,7,5,38
488,Memphis Depay,NED,FW,25,14,9,2,22,3,0,11,13,27
488,Omar Rekik,TUN,DF,25,0,9,16,2,23,0,7,22,205
488,Simon Adingra,CIV,FW,25,11,8,6,5,20,0,5,4,23
488,Moussa Niakhate,SEN,DF,25,1,0,24,17,8,0,2,31,301
488,Fernando Muslera,URU,GK,25,0,0,25,17,8,0,0,0,115
488,Willian Pacho,ECU,DF,25,0,0,25,13,12,0,1,12,303
488,Tim Payne,NZL,DF,25,9,9,7,4,21,2,9,33,129
488,Denis Zakaria,SUI,MF,25,10,8,7,8,17,3,24,15,144
500,Isak Hien,SWE,DF,24,0,0,24,17,7,0,1,15,228
500,Marcos Llorente,ESP,DF,24,15,5,4,9,15,3,21,18,191
500,Gregor Kobel,SUI,GK,24,0,0,24,17,7,0,0,2,211
500,Azizbek Amonov,UZB,FW,24,15,7,2,17,7,1,4,9,17
500,Alexander Bernhardsson,SWE,DF,24,9,10,5,6,18,0,21,25,102
500,Theo Hernandez,FRA,DF,24,8,10,6,12,12,1,3,13,107
500,Francisco Trincao,POR,FW,24,6,18,0,19,5,0,8,15,35
500,Ante Budimir,CRO,FW,24,19,5,0,23,1,0,8,9,18
500,Simon Banza,COD,FW,24,17,7,0,20,4,1,4,7,14
500,Charles Pickel,COD,MF,24,6,10,8,9,15,0,4,11,46
500,Jiovany Ramos,PAN,DF,24,2,3,19,8,16,0,1,16,258
500,Brian Rodriguez,URU,FW,24,8,11,5,1,23,2,11,7,55
500,Seko Fofana,CIV,MF,24,4,16,4,18,6,1,6,29,106
500,Bazoumana Toure,CIV,FW,24,12,12,0,6,18,2,7,15,38
514,Rani Khedira,TUN,MF,23,10,8,5,20,3,1,3,13,46
514,Zizo,EGY,FW,23,6,15,2,11,12,3,11,7,33
514,Kalidou Koulibaly,SEN,DF,23,1,1,21,13,10,0,0,18,189
514,Evidence Makgopa,RSA,FW,23,17,6,0,16,7,2,19,17,47
514,Mario Pasalic,CRO,MF,23,1,12,10,18,5,0,2,6,64
514,Victor Lindelof,SWE,DF,23,0,2,21,8,15,0,3,13,240
514,Michael Boxall,NZL,DF,23,0,0,23,9,14,0,3,17,211
514,David Doudera,CZE,DF,23,10,10,3,7,16,0,10,20,107
514,Ben Old,NZL,MF,23,12,6,5,12,11,0,6,10,46
514,Jeremy Antonisse,CUW,FW,23,8,12,3,16,7,0,7,10,46
514,Endrick,BRA,FW,23,14,6,3,16,7,1,4,5,26
514,Kevin Rodriguez,ECU,FW,23,12,10,1,15,8,1,21,22,49
514,Ayoub Aloui,QAT,DF,23,4,12,7,2,21,1,2,11,57
514,Daizen Maeda,JPN,MF,23,19,3,1,15,8,3,6,7,18
528,Nuno Da Costa,CPV,MF,22,14,7,1,14,8,1,15,14,34
528,Steve Kapuadi,COD,DF,22,3,1,18,7,15,0,2,11,114
528,Ugurcan Cakir,TUR,GK,22,0,1,21,11,11,0,0,1,105
528,Odiljon Xamrobekov,UZB,MF,22,1,12,9,19,3,0,6,12,46
528,Jonas Adjetey,GHA,DF,22,0,0,22,11,11,0,2,8,153
528,Mbekezeli Mbokazi,RSA,DF,22,1,6,15,9,13,0,3,21,278
528,Brandon Thomas Asante,GHA,FW,22,20,2,0,14,8,2,7,7,15
528,Yassine Bounou,MAR,GK,22,0,0,22,10,12,0,0,4,190
528,Erling Haaland,NOR,FW,22,18,4,0,18,4,7,24,27,67
528,Nico Schlotterbeck,GER,DF,22,0,1,21,5,17,0,6,33,272
528,Dodi Lukebakio,BEL,FW,22,13,6,3,14,8,1,7,7,32
528,Chris Richards,USA,DF,22,2,0,20,15,7,0,1,22,354
540,Lisandro Martinez,ARG,DF,21,0,0,21,7,14,0,0,27,283
540,Matias Vina,URU,DF,21,12,2,7,1,20,1,6,15,69
540,Issa Diop,MAR,DF,21,1,0,20,6,15,0,1,7,279
540,Anass Salah Eddine,MAR,DF,21,5,3,13,4,17,2,7,41,143
540,Hassan Alhaydos,QAT,FW,21,10,10,1,11,10,0,7,16,31
540,Garry Rodrigues,CPV,MF,21,12,9,0,14,7,0,6,8,22
540,Unai Simon,ESP,GK,21,0,0,21,15,6,0,0,1,118
540,Jaroslav Zeleny,CZE,DF,21,8,11,2,6,15,2,15,11,105
540,Kristian Thorstvedt,NOR,MF,21,10,7,4,15,6,1,6,10,30
540,Amadou Onana,BEL,MF,21,1,10,10,15,6,0,5,16,81
540,Patrick Berg,NOR,MF,21,5,11,5,11,10,0,4,13,50
540,Phillip Mwene,AUT,DF,21,5,9,7,3,18,3,9,9,63
540,Angus Gunn,SCO,GK,21,0,0,21,15,6,0,0,3,224
540,Lucas Digne,FRA,DF,21,11,3,7,7,14,2,10,7,142
540,Sontje Hansen,CUW,FW,21,15,6,0,13,8,1,7,7,20
555,Homam Ahmed,QAT,DF,20,13,6,1,5,15,1,7,13,75
555,Takefusa Kubo,JPN,MF,20,7,9,4,15,5,1,4,10,36
555,Vozinha,CPV,GK,20,0,0,20,11,9,0,0,3,150
555,Ahmed Alaaeldin,QAT,FW,20,11,8,1,15,5,0,8,11,26
555,Obed Vargas,MEX,MF,20,1,12,7,17,3,0,7,13,41
555,Mauricio,PAR,MF,20,3,13,4,9,11,0,2,11,45
555,Sebastian Caceres,URU,DF,20,1,0,19,13,7,0,4,13,296
555,Azarias Londono,PAN,FW,20,8,12,0,10,10,0,8,5,35
555,Hamdy Fathy,EGY,MF,20,3,3,14,9,11,0,7,12,139
555,Pathe Ciss,SEN,MF,20,0,3,17,15,5,0,0,9,70
555,Yasser Ibrahim,EGY,DF,20,0,1,19,15,5,0,1,8,204
555,Lyle Foster,RSA,FW,20,10,8,2,12,8,0,6,7,15
555,Marcus Holmgren Pedersen,NOR,DF,20,9,4,7,8,12,3,4,10,66
555,Guus Til,NED,MF,20,11,8,1,9,11,0,6,5,19
555,Jordan Pickford,ENG,GK,20,0,0,20,15,5,0,0,4,169
555,Michael Gregoritsch,AUT,FW,20,13,7,0,13,7,0,8,12,28
555,Virgil Van Dijk,NED,DF,20,0,1,19,11,9,0,2,21,365
555,Amar Dedic,BIH,DF,20,7,9,4,4,16,0,0,15,123
555,Luca Jaquez,SUI,DF,20,9,9,2,2,18,1,7,28,88
555,Can Uzun,TUR,FW,20,4,3,13,11,9,0,5,16,46
575,Abdulkerim Bardakci,TUR,DF,19,2,1,16,8,11,1,0,14,412
575,Cecilio Waterman,PAN,FW,19,14,5,0,17,2,1,12,13,26
575,Arya Yousefi,IRN,DF,19,6,12,1,8,11,1,7,21,42
575,Houssem Aouar,ALG,MF,19,7,9,3,12,7,1,8,13,49
575,Chancel Mbemba,COD,DF,19,1,1,17,4,15,0,5,16,133
575,Shoja Khalilzadeh,IRN,DF,19,0,1,18,10,9,0,2,15,170
575,Castrop Jens,KOR,DF,19,4,15,0,3,16,3,13,12,65
575,Bukayo Saka,ENG,FW,19,9,6,4,5,14,2,9,16,38
575,Mathieu Choiniere,CAN,MF,19,0,7,12,12,7,0,5,10,63
575,Emmanuel Agbadou,CIV,DF,19,0,4,15,9,10,0,0,11,232
575,Gilson Benchimol,CPV,FW,19,12,7,0,12,7,1,6,12,24
586,Edouard Mendy,SEN,GK,18,0,0,18,15,3,0,0,2,132
586,Jordan Ayew,GHA,FW,18,8,10,0,13,5,4,24,26,67
586,Jovane Cabral,CPV,MF,18,4,13,1,5,13,0,9,8,33
586,Ernest Nuamah,GHA,FW,18,7,8,3,9,9,2,5,16,37
586,Orlando Mosquera,PAN,GK,18,0,0,18,12,6,0,0,2,110
586,Junior Alonso,PAR,DF,18,0,5,13,1,17,0,4,21,121
586,Nilson Angulo,ECU,FW,18,9,7,2,7,11,2,11,18,59
586,Santiago Gimenez,MEX,FW,18,13,5,0,12,6,2,9,12,23
586,Riechedly Bazoer,CUW,DF,18,0,3,15,9,9,0,1,4,71
586,Joshua Brenet,CUW,DF,18,8,5,5,3,15,0,4,22,64
586,Denis Visinsky,CZE,FW,18,3,10,5,7,11,1,5,5,40
586,Nestory Irankunda,AUS,FW,18,13,5,0,7,11,3,16,14,45
586,Igor Matanovic,CRO,FW,18,5,11,2,16,2,0,2,2,4
586,Orjan Nyland,NOR,GK,18,0,0,18,11,7,0,0,0,151
586,Yukinari Sugawara,JPN,DF,18,5,8,5,5,13,3,6,14,65
586,Aissa Mandi,ALG,DF,18,3,2,13,6,12,0,0,17,391
586,Assim Madibo,QAT,MF,18,0,7,11,12,6,0,3,21,75
586,Yusuf Abdurisag,QAT,FW,18,10,7,1,11,7,1,12,11,33
604,Mohamed Kanno,KSA,MF,17,1,9,7,15,2,0,12,39,141
604,Ali Alipour,IRN,FW,17,10,7,0,13,4,0,5,7,21
604,Ala Alhajji,KSA,MF,17,3,12,2,11,6,0,7,13,37
604,Jearl Margaritha,CUW,FW,17,11,6,0,9,8,2,7,9,19
604,Dailon Livramento,CPV,FW,17,12,5,0,15,2,0,5,6,15
604,Kwasi Sibo,GHA,MF,17,1,3,13,16,1,0,4,10,65
604,Damian Bobadilla,PAR,MF,17,2,6,9,11,6,0,2,5,34
604,Jordy Alcivar,ECU,MF,17,4,3,10,10,7,0,1,19,77
604,Orbelin Pineda,MEX,MF,17,6,8,3,13,4,0,1,4,10
604,Danilo Santos,BRA,MF,17,4,7,6,9,8,0,3,5,21
604,Juan Quintero,COL,MF,17,4,8,5,7,10,0,4,5,60
604,Philipp Lienhart,AUT,DF,17,0,1,16,6,11,0,0,14,179
604,Patrick Wimmer,AUT,FW,17,10,6,1,4,13,0,11,14,32
604,Dostonbek Khamdamov,UZB,MF,17,10,5,2,12,5,1,6,8,33
618,Elias Achouri,TUN,FW,16,8,7,1,8,8,0,2,5,17
618,Nkosinathi Sibisi,RSA,DF,16,0,2,14,4,12,0,0,12,108
618,Firas Chaouat,TUN,FW,16,14,2,0,14,2,1,4,4,13
618,Noussair Mazraoui,MAR,DF,16,4,5,7,4,12,2,5,21,209
618,Hassan Altambakti,KSA,DF,16,0,1,15,7,9,0,1,20,141
618,Cho Guesung,KOR,FW,16,11,5,0,10,6,2,8,7,19
618,Axel Tuanzebe,COD,DF,16,1,2,13,11,5,0,0,14,88
618,Mohamed Manai,QAT,FW,16,2,8,6,9,7,0,5,8,34
618,Alexander Prass,AUT,MF,16,8,6,2,5,11,1,7,5,38
618,Rayan Cherki,FRA,MF,16,1,10,5,13,3,1,7,20,64
618,Luis Chavez,MEX,MF,16,0,6,10,2,14,0,4,4,61
618,Igor Thiago,BRA,FW,16,15,1,0,12,4,0,9,7,21
618,Darwin Nunez,URU,FW,16,15,1,0,12,4,1,9,10,24
618,Angelo Preciado,ECU,DF,16,6,7,3,2,14,2,11,15,48
618,Andres Cubas,PAR,MF,16,0,7,9,12,4,0,6,20,100
633,Marko Arnautovic,AUT,FW,15,9,6,0,10,5,3,11,15,39
633,Juan Jose Caceres,PAR,DF,15,3,4,8,2,13,0,6,18,91
633,Elisha Owusu,GHA,MF,15,1,3,11,10,5,2,3,18,58
633,Max Crocombe,NZL,GK,15,0,0,15,10,5,0,0,0,134
633,Rustam Ashurmatov,UZB,DF,15,0,0,15,1,14,0,0,14,167
633,Quinten Timber,NED,MF,15,6,5,4,5,10,1,3,5,13
633,Ehsan Hajisafi,IRN,DF,15,1,8,6,3,12,1,2,7,47
633,Eom Jisung,KOR,MF,15,7,6,2,4,11,2,5,3,23
633,Akam Hashim,IRQ,DF,15,0,2,13,6,9,1,0,18,264
633,Keisuke Goto,JPN,FW,15,9,6,0,14,1,0,1,1,2
633,Mehdi Torabi,IRN,MF,15,5,6,4,6,9,1,6,11,45
633,Amirhossein Hosseinzadeh,IRN,FW,15,4,9,2,8,7,0,3,8,33
633,Zaid Tahseen,IRQ,DF,15,0,1,14,4,11,0,2,18,134
633,Almoez Ali,QAT,FW,15,3,10,2,10,5,0,2,5,9
647,Kim Jingyu,KOR,MF,14,1,6,7,11,3,0,5,19,122
647,Abdul Fatawu,GHA,FW,14,6,8,0,1,13,0,10,14,40
647,Niko Sigur,CAN,DF,14,3,4,7,4,10,2,7,11,37
647,Pape Matar Sarr,SEN,MF,14,0,3,11,13,1,0,0,5,44
647,Jhon Cordoba,COL,FW,14,11,3,0,11,3,2,3,3,9
647,Alisson,BRA,GK,14,0,0,14,9,5,0,0,0,172
647,David Raum,GER,DF,14,8,4,2,8,6,1,3,4,20
647,Mike Maignan,FRA,GK,14,0,0,14,10,4,0,0,4,113
647,Micky Van De Ven,NED,DF,14,5,1,8,4,10,3,8,15,207
647,Deniz Gul,TUR,FW,14,13,1,0,14,0,1,3,3,7
647,Mohamed Toure,AUS,FW,14,9,5,0,8,6,2,12,13,31
647,Alessandro Circati,AUS,DF,14,0,3,11,2,12,0,4,26,128
647,Jesse Randall,NZL,FW,14,7,7,0,6,8,2,1,3,10
647,Nikola Vasilj,BIH,GK,14,0,0,14,11,3,0,0,10,219
661,Abdulla Abdullaev,UZB,DF,13,1,1,11,6,7,0,0,7,143
661,Tomas Chory,CZE,FW,13,7,6,0,8,5,0,6,4,18
661,Matej Kovar,CZE,GK,13,0,0,13,7,6,0,0,10,181
661,Ismael Gharbi,TUN,MF,13,1,9,3,8,5,0,3,16,34
661,Ricardo Ade,HAI,DF,13,1,0,12,10,3,0,2,22,293
661,Shahriyar Moghanloo,IRN,FW,13,9,4,0,10,3,3,15,13,51
661,Abdallah Nasib,JOR,DF,13,0,2,11,1,12,0,1,9,115
661,Koki Ogawa,JPN,FW,13,5,6,2,12,1,0,2,2,4
661,Ermin Mahmic,BIH,MF,13,6,7,0,10,3,0,3,4,12
661,Josip Sutalo,CRO,DF,13,0,0,13,10,3,0,2,32,315
661,Deniz Undav,GER,FW,13,9,4,0,9,4,4,14,18,54
661,Sasa Kalajdzic,AUT,FW,13,7,6,0,10,3,0,17,8,40
661,Hernan Galindez,ECU,GK,13,0,0,13,9,4,0,0,2,103
661,Giovanni Reyna,USA,MF,13,1,5,7,8,5,1,4,4,23
661,Richard Rios,COL,MF,13,5,7,1,6,7,0,4,4,27
661,Emiliano Martinez,ARG,GK,13,0,0,13,7,6,0,0,0,128
677,Matt Freese,USA,GK,12,0,0,12,8,4,0,0,3,90
677,Alexis Vega,MEX,FW,12,5,4,3,7,5,2,3,6,25
677,Neymar Jr,BRA,FW,12,0,11,1,7,5,0,6,5,39
677,Tsuyoshi Watanabe,JPN,DF,12,5,0,7,4,8,2,2,4,50
677,Yuito Suzuki,JPN,MF,12,5,5,2,7,5,0,3,6,11
677,Nadhir Benbouali,ALG,FW,12,7,3,2,11,1,2,8,13,28
677,Tomas Holes,CZE,DF,12,2,0,10,3,9,0,2,15,146
677,Utkir Yusupov,UZB,GK,12,0,0,12,7,5,0,0,0,50
677,Armin Gigovic,BIH,MF,12,2,5,5,7,5,0,1,10,36
677,Sherzod Nasrullaev,UZB,DF,12,6,6,0,4,8,0,7,10,52
677,Nishan Velupillay,AUS,FW,12,5,6,1,8,4,0,6,10,35
677,Harry Souttar,AUS,DF,12,1,1,10,8,4,0,2,18,103
677,Abdukodir Khusanov,UZB,DF,12,2,1,9,4,8,0,1,18,128
677,Montassar Talbi,TUN,DF,12,0,0,12,8,4,0,1,6,178
677,Thomas Partey,GHA,MF,12,0,1,11,8,4,0,0,9,58
677,Telmo Arcanjo,CPV,MF,12,3,4,5,7,5,0,5,12,31
677,Ayoube Amaimouni,MAR,FW,12,8,3,1,6,6,1,11,12,30
677,Moise Bombito,CAN,DF,12,1,0,11,4,8,1,0,4,81
677,Johny Placide,HAI,GK,12,0,0,12,9,3,0,0,2,187
677,Inaki Williams,GHA,FW,12,10,2,0,7,5,0,6,9,23
677,Nadiem Amiri,GER,MF,12,2,5,5,8,4,0,2,2,33
677,Leon Goretzka,GER,MF,12,5,6,1,9,3,0,7,5,32
699,Jamie Leweling,GER,MF,11,7,4,0,2,9,2,7,8,36
699,Oscar Bobb,NOR,MF,11,2,7,2,4,7,2,8,9,52
699,Tomas Araujo,POR,DF,11,1,0,10,5,6,0,0,9,215
699,Maghnes Akliouche,FRA,MF,11,3,5,3,7,4,0,2,4,20
699,Matias Fernandez Pardo,BEL,FW,11,10,0,1,5,6,0,7,5,15
699,Robin Hranac,CZE,DF,11,2,1,8,6,5,0,1,13,249
699,Ismael Diaz,PAN,MF,11,4,7,0,6,5,0,5,5,21
699,Nicolas Otamendi,ARG,DF,11,0,0,11,6,5,0,0,8,87
699,David Alaba,AUT,DF,11,3,2,6,6,5,0,2,19,213
699,Kento Shiogai,JPN,FW,11,6,5,0,9,2,0,1,0,2
699,Ahmed Basil,IRQ,GK,11,0,0,11,8,3,0,0,1,89
699,Hamza Abdelkarim,EGY,FW,11,10,1,0,10,1,1,2,2,15
699,Redouane Halhal,MAR,DF,11,0,0,11,1,10,0,0,17,116
699,Hannes Delcroix,HAI,DF,11,0,2,9,3,8,0,0,16,302
699,Iliman Ndiaye,SEN,FW,11,3,7,1,10,1,0,8,8,23
714,Yahia Fofana,CIV,GK,10,0,0,10,8,2,0,0,1,130
714,Derrick Etienne,HAI,FW,10,7,1,2,4,6,2,5,1,19
714,Ibrahim Adel,EGY,FW,10,3,6,1,2,8,0,4,1,12
714,Jan Paul Van Hecke,NED,DF,10,2,0,8,3,7,0,2,8,338
714,Nikola Vlasic,CRO,MF,10,6,2,2,9,1,0,2,5,10
714,Julian Ryerson,NOR,FW,10,2,8,0,2,8,1,14,34,146
714,Abduvohid Nematov,UZB,GK,10,0,0,10,8,2,0,0,3,55
714,Ryan Thomas,NZL,MF,10,2,5,3,5,5,0,9,10,34
