Posição,Jogador,País,Posição Campo,Velocidade média (km/h),Corridas em alta velocidade,Arrancadas,Distância total (m)
444,Louicius Deedson,HAI,FW,5.91,145,67,13276.69
445,Reece James,ENG,DF,5.9,187,79,20103.63
446,Ghislain Konan,CIV,DF,5.9,220,84,20346.57
447,Marcel Sabitzer,AUT,MF,5.9,256,120,20737.34
448,Johan Mojica,COL,DF,5.9,219,88,20341.86
449,William Saliba,FRA,DF,5.9,166,67,19791.22
450,Mohamed Kanno,KSA,MF,5.9,172,40,15167.05
451,Ime Okon,RSA,DF,5.89,354,145,29696.08
452,Ricardo Rodriguez,SUI,DF,5.89,296,115,28963.8
453,Leandro Bacuna,CUW,MF,5.88,207,58,19630.26
454,Diney Borges,CPV,DF,5.88,169,54,20128.54
455,Mohamed Hany,EGY,DF,5.88,201,83,19956.31
456,Cesar Blackman,PAN,DF,5.87,180,64,18333.59
457,Gervane Kastaneer,CUW,FW,5.87,23,14,2499.44
458,Hannes Delcroix,HAI,DF,5.87,298,89,30006.24
459,Homam Ahmed,QAT,DF,5.86,157,57,13626.23
460,Robin Hranac,CZE,DF,5.86,311,94,29418.45
461,Vinicius Junior,BRA,FW,5.86,319,164,28654.58
462,Cody Gakpo,NED,FW,5.85,189,84,17769.82
463,Ferran Torres,ESP,FW,5.84,128,60,13519.5
464,Antoine Semenyo,GHA,MF,5.84,146,75,20378.86
465,Cecilio Waterman,PAN,FW,5.84,82,34,8772.9
466,Saud Abdulhamid,KSA,DF,5.84,207,101,19437.3
467,Rodrigo De Paul,ARG,MF,5.83,168,84,18389.32
468,Jan Paul Van Hecke,NED,DF,5.83,158,48,19372.96
469,Ruben Vargas,SUI,FW,5.83,202,97,18827.98
470,Gideon Mensah,GHA,DF,5.82,190,78,20336.83
471,Cyle Larin,CAN,FW,5.82,180,85,17521.39
472,Mohamed Amine Ben Hmida,TUN,DF,5.82,121,50,14732.42
473,Khuliso Mudau,RSA,DF,5.81,300,137,29331.19
474,Richie Laryea,CAN,DF,5.81,281,125,28231.58
475,Luis Diaz,COL,FW,5.81,164,85,19252.89
476,Cameron Burgess,AUS,DF,5.8,147,33,15035.64
477,Hassan Altambakti,KSA,DF,5.8,220,58,19861.98
478,Nathan Ngoy,BEL,DF,5.8,165,55,16948.34
479,Steve Kapuadi,COD,DF,5.79,211,60,19496.83
480,Sebastian Caceres,URU,DF,5.79,184,64,20131.38
481,Firas Chaouat,TUN,FW,5.79,58,22,4528.11
482,Ezri Konsa,ENG,DF,5.79,199,56,19706.76
483,Wilfried Singo,CIV,DF,5.77,173,65,18230.23
484,Jerome Opoku,GHA,DF,5.76,149,49,20121.78
485,Danilo,BRA,DF,5.76,290,122,25029.18
486,Juergen Locadia,CUW,FW,5.76,151,62,15043.0
487,Harry Souttar,AUS,DF,5.75,174,40,19701.17
488,Nico Elvedi,SUI,DF,5.75,313,95,29132.06
489,Jhon Arias,COL,MF,5.75,161,57,17177.84
490,Nicolas Otamendi,ARG,DF,5.74,54,14,5388.02
491,Folarin Balogun,USA,FW,5.73,159,88,17052.29
492,Ali Lajami,KSA,DF,5.73,89,33,9708.86
493,Micky Van De Ven,NED,DF,5.73,174,66,19063.96
494,Idrissa Gana Gueye,SEN,MF,5.73,226,68,18917.59
495,Abdulla Abdullaev,UZB,DF,5.73,191,57,19761.96
496,Erling Haaland,NOR,FW,5.73,160,81,19816.22
497,Noni Madueke,ENG,FW,5.72,191,65,15858.35
498,Abdallah Nasib,JOR,DF,5.72,184,62,17801.18
499,Ibrahim Mbaye,SEN,FW,5.71,82,34,6619.14
500,Federico Vinas,URU,FW,5.7,157,81,16328.25
501,Omar Marmoush,EGY,FW,5.69,158,79,16945.04
502,Lee Kangin,KOR,MF,5.68,264,69,28433.53
503,Marquinhos,BRA,DF,5.68,259,66,29206.4
504,Victor Lindelof,SWE,DF,5.67,165,51,18984.39
505,Aissa Mandi,ALG,DF,5.67,170,47,19187.51
506,Derek Cornelius,CAN,DF,5.65,247,74,23652.92
507,Donyell Malen,NED,FW,5.65,108,52,11391.83
508,Isak Hien,SWE,DF,5.64,139,55,18873.27
509,Ricardo Ade,HAI,DF,5.64,310,95,28826.94
510,Michael Boxall,NZL,DF,5.63,162,63,19295.86
511,Issa Laye,QAT,DF,5.61,338,88,29038.33
512,Manuel Akanji,SUI,DF,5.61,315,86,28456.3
513,Findlay Curtis,SCO,FW,5.61,35,16,2919.32
514,Yan Diomande,CIV,FW,5.6,189,99,18098.22
515,Abdulelah Alamri,KSA,DF,5.6,143,43,15413.85
516,Akam Hashim,IRQ,DF,5.6,183,52,18499.57
517,Emmanuel Agbadou,CIV,DF,5.59,172,50,19282.66
518,Yazan Alarab,JOR,DF,5.58,181,49,19439.33
519,Gustavo Gomez,PAR,DF,5.56,145,55,19682.44
520,Rustam Ashurmatov,UZB,DF,5.55,186,51,16938.35
521,Pico Lopes,CPV,DF,5.55,161,38,18984.27
522,Ayoube Amaimouni,MAR,FW,5.55,73,35,4598.41
523,Moussa Niakhate,SEN,DF,5.54,177,55,19414.69
524,Kylian Mbappe,FRA,FW,5.54,153,80,18365.17
525,Nestory Irankunda,AUS,FW,5.51,97,44,10881.83
526,Shoja Khalilzadeh,IRN,DF,5.5,172,49,18742.76
527,Enner Valencia,ECU,FW,5.5,125,59,16510.98
528,Federico Valverde,URU,MF,5.49,151,62,19122.81
529,Noussair Mazraoui,MAR,DF,5.48,173,68,19022.87
530,Breel Embolo,SUI,FW,5.48,253,133,25778.46
531,Omar Alderete,PAR,DF,5.46,142,54,19367.67
532,Mohamed Abdelmoneim,EGY,DF,5.46,11,4,363.82
533,Alexander Isak,SWE,FW,5.44,177,81,17602.88
534,Luis Suarez,COL,FW,5.44,114,57,13297.18
535,Axel Tuanzebe,COD,DF,5.43,132,57,18286.89
536,Davinson Sanchez,COL,DF,5.43,175,60,18729.19
537,Cesar Montes,MEX,DF,5.42,153,46,17789.03
538,Marko Arnautovic,AUT,FW,5.4,89,28,7871.06
539,Sherzod Esanov,UZB,MF,5.39,15,6,657.16
540,Ramy Bensebaini,ALG,DF,5.39,157,60,18229.88
541,Chancel Mbemba,COD,DF,5.36,174,66,18051.48
542,Nuno Mendes,POR,DF,5.31,160,73,15875.92
543,Mbekezeli Mbokazi,RSA,DF,5.31,256,102,26785.22
544,Kalidou Koulibaly,SEN,DF,5.31,167,44,16073.86
545,Kevin Danso,AUT,DF,5.3,136,45,12924.59
546,Tim Ream,USA,DF,5.3,205,50,18447.47
547,Themba Zwane,RSA,MF,5.29,35,10,2021.04
548,Abdukodir Khusanov,UZB,DF,5.28,145,65,18218.2
549,Willian Pacho,ECU,DF,5.25,146,62,17728.63
550,Virgil Van Dijk,NED,DF,5.23,140,53,17399.08
551,Alvaro Fidalgo,MEX,MF,5.22,189,71,11902.43
552,Kim Jingyu,KOR,MF,5.21,99,26,7803.84
553,Akram Afif,QAT,FW,5.2,194,104,23536.07
554,Armando Obispo,CUW,DF,5.19,119,36,17327.78
555,Lisandro Martinez,ARG,DF,5.17,124,33,17637.11
556,Pedro Miguel,QAT,DF,5.13,229,76,26501.54
557,Relebohile Mofokeng,RSA,FW,5.07,246,66,17259.28
558,Cristian Romero,ARG,DF,5.02,74,18,12434.22
559,Danilo Santos,BRA,MF,5.01,74,20,4437.0
560,Chemsdine Talbi,MAR,MF,5.01,88,36,5664.55
561,Cristiano Ronaldo,POR,FW,4.99,122,69,16795.61
562,Cedric Itten,SUI,FW,4.95,36,18,2679.18
563,Fabian Rieder,SUI,MF,4.93,208,67,13158.98
564,Boualem Khoukhi,QAT,DF,4.92,226,62,25410.03
565,Romelu Lukaku,BEL,FW,4.91,63,21,8699.1
566,Jhon Lucumi,COL,DF,4.9,129,41,16910.5
567,Anthony Ralston,SCO,DF,4.9,35,13,2807.5
568,Lyndon Dykes,SCO,FW,4.83,78,34,5899.41
569,Djibril Sow,SUI,MF,4.79,204,73,12440.73
570,Obed Vargas,MEX,MF,4.78,130,29,7109.15
571,Luis Romo,MEX,MF,4.78,253,74,16854.92
572,Hassan Alhaydos,QAT,FW,4.75,147,43,8290.41
573,Ermin Mahmic,BIH,MF,4.74,69,28,4817.78
574,Lionel Messi,ARG,FW,4.72,135,60,14713.2
575,Park Jinseob,KOR,DF,4.68,64,13,4973.55
576,Eom Jisung,KOR,MF,4.64,72,36,6234.99
578,Lee Jaesung,KOR,MF,4.63,205,85,14542.7
579,Yusuf Abdurisag,QAT,FW,4.62,176,66,12292.36
580,Jorge Sanchez,MEX,DF,4.6,291,118,23049.68
581,Ayyoub Bouaddi,MAR,MF,4.6,290,78,23614.48
582,Erik Lira,MEX,MF,4.6,243,62,20745.42
583,Karim Boudiaf,QAT,MF,4.59,205,30,13129.49
584,Lawrence Shankland,SCO,FW,4.59,258,70,21051.5
585,Tomas Chory,CZE,FW,4.49,55,28,4558.03
586,Dzenis Burnic,BIH,MF,4.46,37,11,3073.49
587,Liam Millar,CAN,MF,4.44,137,60,11438.85
588,Lee Taeseok,KOR,DF,4.44,151,68,13302.6
589,Santiago Gimenez,MEX,FW,4.43,83,22,5429.09
590,Mohammad Abuzraiq,JOR,FW,4.43,13,9,945.76
591,Brian Gutierrez,MEX,MF,4.39,221,75,15793.88
592,Dominique Simon,HAI,MF,4.37,150,36,7878.3
593,Luca Jaquez,SUI,DF,4.35,96,39,9611.83
594,Nathan Saliba,CAN,MF,4.34,247,80,15874.56
595,Jaroslav Zeleny,CZE,DF,4.33,162,69,15481.55
596,Raphinha,BRA,FW,4.33,189,108,15809.52
597,Ahmed Alaaeldin,QAT,FW,4.31,70,30,6052.91
598,Gabriel Martinelli,BRA,FW,4.3,77,29,6778.79
599,Haji Wright,USA,FW,4.28,6,3,352.99
600,Karim Hafez,EGY,DF,4.27,13,7,1022.35
601,Silvan Widmer,SUI,DF,4.26,166,57,12039.73
602,Kieran Tierney,SCO,DF,4.26,119,65,12307.0
603,Thapelo Maseko,RSA,FW,4.26,205,102,17732.79
604,Ibrahim Adel,EGY,FW,4.25,18,8,1006.49
605,Lukas Cerv,CZE,MF,4.24,204,53,18226.25
606,Cho Guesung,KOR,FW,4.22,37,22,4408.36
607,Jovo Lukic,BIH,FW,4.22,100,42,8269.19
608,Rayan,BRA,FW,4.21,176,76,15617.35
609,Gilberto Mora,MEX,MF,4.2,166,54,11604.39
610,Sultan Albrake,QAT,DF,4.19,215,70,17683.33
611,Ismael Kone,CAN,MF,4.19,198,44,16975.03
612,Marcus Thuram,FRA,FW,4.14,5,2,295.8
613,Maghnes Akliouche,FRA,MF,4.14,24,5,1369.75
614,Johan Vasquez,MEX,DF,4.13,235,64,20791.75
615,Fabinho,BRA,MF,4.13,101,30,8956.55
616,Jean Kevin Duverne,HAI,DF,4.12,209,82,19174.4
617,Endrick,BRA,FW,4.11,37,25,4806.11
618,Tomas Holes,CZE,DF,4.11,203,58,17483.14
619,Edin Dzeko,BIH,FW,4.09,135,42,13811.96
620,Kento Shiogai,JPN,FW,4.07,20,11,1755.39
621,Daniel Svensson,SWE,DF,4.05,15,6,885.75
622,Jose Canale,PAR,DF,4.05,16,4,967.24
623,Goncalo Ramos,POR,FW,3.99,27,14,1627.41
624,Nikola Vlasic,CRO,MF,3.96,26,15,2404.54
625,Amar Dedic,BIH,DF,3.95,230,88,19804.21
626,Anass Salah Eddine,MAR,DF,3.94,106,40,10559.63
627,Andres Gomez,COL,FW,3.9,16,6,1042.07
628,Grant Hanley,SCO,DF,3.88,173,45,19774.95
629,Iliman Ndiaye,SEN,FW,3.88,31,11,2202.72
630,David Raum,GER,DF,3.86,45,27,2917.86
631,Aimar Sher,IRQ,MF,3.84,41,6,3139.09
632,Francis De Vries,NZL,DF,3.83,32,14,1935.77
633,Dailon Livramento,CPV,FW,3.83,83,34,8264.89
634,Raul Jimenez,MEX,FW,3.82,145,68,15630.56
635,Issa Diop,MAR,DF,3.81,187,41,19585.03
636,Kristian Thorstvedt,NOR,MF,3.81,45,15,3184.66
637,Francisco Trincao,POR,FW,3.81,56,32,4066.95
638,Salih Ozcan,TUR,MF,3.76,26,12,1979.92
639,Jaouen Hadjam,ALG,DF,3.76,20,13,1599.55
640,Ayoub Aloui,QAT,DF,3.76,170,55,15912.29
641,Leandro Paredes,ARG,MF,3.75,35,9,2049.79
642,Mohammad Abuhasheesh,JOR,DF,3.75,25,12,1660.43
643,Alexandro Maidana,PAR,DF,3.73,30,13,2279.23
644,Nathanael Mbuku,COD,MF,3.72,22,8,1843.52
645,Yuito Suzuki,JPN,MF,3.72,32,14,2226.64
646,Nico Paz,ARG,FW,3.71,29,5,2114.0
647,Promise David,CAN,FW,3.71,47,19,5292.24
648,Gavi,ESP,MF,3.7,105,35,9228.85
649,Besfort Zeneli,SWE,MF,3.68,83,32,4951.98
650,Timothy Weah,USA,FW,3.68,51,25,3275.11
651,Jeremy Antonisse,CUW,FW,3.67,89,30,6143.88
652,Baba Rahman,GHA,DF,3.67,2,1,168.97
653,Kevin Castano,COL,MF,3.65,17,6,974.56
654,Simon Adingra,CIV,FW,3.64,35,14,2769.08
655,Phillip Mwene,AUT,DF,3.62,96,41,7498.36
656,Noa Lang,NED,FW,3.61,10,7,675.03
657,Youssef Amyn,IRQ,MF,3.61,52,18,3954.85
658,Orjan Nyland,NOR,GK,3.61,27,1,12478.68
659,Daizen Maeda,JPN,MF,3.6,132,66,8252.4
660,Willy Semedo,CPV,MF,3.58,39,18,4115.54
661,Trezeguet,EGY,FW,3.57,42,21,2941.36
662,Aziz Behich,AUS,DF,3.57,11,4,1528.82
663,Adil Boulbina,ALG,FW,3.56,29,9,1738.5
664,Matias Galarza,PAR,MF,3.56,140,64,12061.55
665,Alex Arce,PAR,FW,3.55,67,27,4355.14
666,Zineddine Belaid,ALG,DF,3.55,18,8,1471.61
667,Godfried Roemeratoe,CUW,MF,3.55,19,6,1454.14
668,Quinten Timber,NED,MF,3.54,53,14,3073.55
669,Mohanad Ali,IRQ,FW,3.54,36,16,2367.96
670,Gabriel Avalos,PAR,FW,3.54,13,4,900.26
671,Alejandro Romero Gamarra,PAR,FW,3.54,35,11,2181.02
672,Nawaf Bu Washl,KSA,DF,3.53,23,17,2030.34
673,Christian Pulisic,USA,FW,3.53,73,28,5906.86
674,Luka Sucic,CRO,MF,3.53,31,17,2774.75
675,Yannick Semedo,CPV,MF,3.52,36,14,2227.59
676,Mattias Svanberg,SWE,MF,3.52,25,9,1553.49
677,Jordan Pickford,ENG,GK,3.52,47,12,11980.85
678,Ramon Sosa,PAR,MF,3.52,36,16,2289.64
679,Tete Yengi,AUS,FW,3.51,32,15,2651.09
680,Mehdi Torabi,IRN,MF,3.51,65,18,3461.66
681,Guus Til,NED,MF,3.51,56,28,4267.29
682,Eren Elmali,TUR,DF,3.5,35,13,3409.65
683,Alexander Schlager,AUT,GK,3.5,42,11,12282.87
684,Alex Baena,ESP,MF,3.5,99,42,7700.22
685,Houssem Aouar,ALG,MF,3.49,50,16,3820.9
686,Keisuke Goto,JPN,FW,3.49,15,10,1396.31
687,Mohamed Amoura,ALG,FW,3.49,57,24,3799.52
688,Igor Matanovic,CRO,FW,3.47,45,20,3527.88
689,Orlando Gill,PAR,GK,3.47,19,3,12299.87
690,Waldemar Anton,GER,DF,3.46,19,8,1459.24
691,Manuel Neuer,GER,GK,3.46,35,8,11798.01
692,Matt Freese,USA,GK,3.45,12,4,12020.45
693,Aurelien Tchouameni,FRA,MF,3.44,197,41,12156.82
694,Bazoumana Toure,CIV,FW,3.44,84,32,6867.81
695,Edouard Mendy,SEN,GK,3.43,18,2,9883.83
696,Nadiem Amiri,GER,MF,3.43,65,22,4280.36
697,Habib Diarra,SEN,MF,3.43,32,15,2798.76
698,Angus Gunn,SCO,GK,3.43,29,6,17506.02
699,Jamie Leweling,GER,MF,3.41,55,20,4276.01
700,Azizbek Amonov,UZB,FW,3.41,36,16,2708.07
701,Arya Yousefi,IRN,DF,3.41,84,31,5813.32
702,Zeki Celik,TUR,DF,3.4,118,47,9541.46
703,Gedeon Kalulu,COD,DF,3.39,20,6,1186.84
704,Arthur Theate,BEL,DF,3.39,22,9,2586.89
705,Koki Ogawa,JPN,FW,3.39,28,15,2437.37
706,Sasa Kalajdzic,AUT,FW,3.39,76,30,5537.86
707,Manu Kone,FRA,MF,3.39,151,30,10754.57
708,Alireza Jahanbakhsh,IRN,MF,3.38,72,25,5639.8
709,Azizjon Ganiev,UZB,MF,3.38,159,72,11415.12
710,Pape Matar Sarr,SEN,MF,3.38,43,14,3215.33
711,Ernest Nuamah,GHA,FW,3.37,81,32,7062.49
712,Can Uzun,TUR,FW,3.36,59,19,4445.52
713,Ali Jasim,IRQ,FW,3.36,140,52,8363.31
714,Elisha Owusu,GHA,MF,3.36,130,32,9275.57
715,Saed Alrosan,JOR,DF,3.36,36,12,2425.08
716,Odiljon Xamrobekov,UZB,MF,3.36,95,22,5726.44
717,Bamba Dieng,SEN,FW,3.36,28,15,1882.12
718,Mohammad Abualnadi,JOR,DF,3.36,115,31,8415.95
719,Ao Tanaka,JPN,MF,3.35,143,28,11176.98
720,Cucho Hernandez,COL,FW,3.35,28,7,2325.55
721,Kamaldeen Sulemana,GHA,FW,3.34,87,31,6979.74
722,Lucas Digne,FRA,DF,3.34,119,43,10606.43
723,Nikola Vasilj,BIH,GK,3.33,25,4,16743.57
724,Dodi Lukebakio,BEL,FW,3.33,50,27,4193.43
725,Cristian Volpato,AUS,FW,3.32,60,24,4151.0
726,Mauricio,PAR,MF,3.32,95,32,5908.66
727,Malo Gusto,FRA,DF,3.32,7,3,1092.42
728,Gregor Kobel,SUI,GK,3.31,28,3,16799.27
729,Kenji Gorre,CUW,FW,3.31,32,8,2257.01
730,Joao Paulo,CPV,MF,3.31,18,10,2192.21
731,Nicolas Tagliafico,ARG,DF,3.3,22,7,1791.15
732,Unai Simon,ESP,GK,3.3,39,19,11139.34
733,Marcus Holmgren Pedersen,NOR,DF,3.3,115,50,10137.15
734,Ali Alipour,IRN,FW,3.3,51,27,4655.69
735,Joao Felix,POR,FW,3.29,86,34,7575.4
736,Jakhongir Urozov,UZB,DF,3.28,39,8,2631.36
737,Isidro Pitta,PAR,FW,3.28,77,23,6037.06
738,Pervis Estupinan,ECU,DF,3.28,97,56,8104.56
739,Ante Budimir,CRO,FW,3.28,55,33,5475.04
740,Mathew Leckie,AUS,FW,3.28,100,31,7358.47
741,Jaminton Campaz,COL,FW,3.27,39,17,3152.99
742,Brandon Thomas Asante,GHA,FW,3.27,66,31,4788.21
743,Ismail Jakobs,SEN,DF,3.27,67,28,5042.07
744,Elye Wahi,CIV,FW,3.26,80,30,6519.41
745,Maxime Crepeau,CAN,GK,3.25,51,10,16592.91
746,Ismael Diaz,PAN,MF,3.25,35,19,2983.28
747,Nathan Ake,NED,DF,3.25,10,5,1661.95
748,Oston Urunov,UZB,MF,3.25,59,19,5419.7
749,Rodrigo Aguirre,URU,FW,3.23,12,4,898.68
750,Charles De Ketelaere,BEL,FW,3.22,78,34,7497.83
751,Mostafa Shoubir,EGY,GK,3.22,26,4,10933.4
752,Mohammad Aldaoud,JOR,MF,3.22,28,7,1620.24
753,Amadou Onana,BEL,MF,3.22,69,20,6466.48
754,Garry Rodrigues,CPV,MF,3.21,74,30,7058.43
755,Ruben Dias,POR,DF,3.21,109,28,10824.08
756,Yeremy Pino,ESP,FW,3.21,80,31,5673.77
757,Alexander Prass,AUT,MF,3.2,37,15,3242.95
758,Alexis Saelemaekers,BEL,MF,3.2,70,32,6960.28
759,Nadhir Benbouali,ALG,FW,3.19,66,35,5586.09
760,Junnosuke Suzuki,JPN,DF,3.19,29,18,2449.59
761,Raul Rangel,MEX,GK,3.19,45,4,15056.45
762,Husam Abudahab,JOR,DF,3.19,106,33,10189.15
763,Matias Vina,URU,DF,3.19,71,30,5227.49
764,Antonio Sanabria,PAR,FW,3.18,84,33,7093.2
765,Gilson Benchimol,CPV,FW,3.17,77,27,6979.85
766,Khojiakbar Alijonov,UZB,DF,3.17,77,29,5294.56
767,Yahia Fofana,CIV,GK,3.17,10,2,10920.88
768,Anibal Godoy,PAN,MF,3.15,18,4,1239.04
769,Marcos Llorente,ESP,DF,3.14,95,41,10396.29
770,Takefusa Kubo,JPN,MF,3.14,85,32,7808.85
771,Ayumu Seko,JPN,DF,3.14,16,4,1869.7
772,Kim Seunggyu,KOR,GK,3.14,37,14,15687.05
773,Alisson,BRA,GK,3.13,5,0,16101.9
774,Taha Ali,SWE,FW,3.12,26,11,1803.91
775,Farrukh Sayfiev,UZB,DF,3.11,71,31,5770.14
776,Eloy Room,CUW,GK,3.11,10,1,10380.26
777,Mohamed Hadj Mahmoud,TUN,MF,3.11,30,18,2556.55
778,Joe Scally,USA,DF,3.11,27,7,1887.6
779,Alan Minda,ECU,MF,3.1,80,31,6170.77
780,Rebin Sulaka,IRQ,DF,3.1,29,13,3415.57
781,Dostonbek Khamdamov,UZB,MF,3.1,75,25,5750.22
782,Callan Elliot,NZL,DF,3.1,19,8,1875.73
783,Mahmoud Abunada,QAT,GK,3.1,20,2,16005.91
784,Ross Stewart,SCO,FW,3.1,22,7,1157.14
785,Zion Suzuki,JPN,GK,3.09,20,2,10251.55
786,Mike Maignan,FRA,GK,3.08,21,2,10374.42
787,Eric Davis,PAN,DF,3.08,12,4,604.68
788,Jordy Alcivar,ECU,MF,3.07,63,23,5065.44
789,Ronwen Williams,RSA,GK,3.07,24,5,15500.45
790,John Stones,ENG,DF,3.07,121,35,9455.59
791,Dylan Bronn,TUN,DF,3.07,38,13,5012.71
792,Theo Hernandez,FRA,DF,3.06,101,49,10782.47
793,Joshua Brenet,CUW,DF,3.05,99,54,10165.05
794,Juan Quintero,COL,MF,3.05,45,13,3929.92
795,Jovane Cabral,CPV,MF,3.05,95,31,6563.23
796,Tomas Araujo,POR,DF,3.04,113,39,10213.3
797,Gonzalo Montiel,ARG,DF,3.03,54,14,4982.35
798,Pedro Porro,ESP,DF,3.03,95,53,10405.5
799,Ugurcan Cakir,TUR,GK,3.02,44,9,10556.01
800,Mustafa Saadoon,IRQ,DF,3.01,26,15,2482.84
801,Philipp Lienhart,AUT,DF,3.01,125,33,10672.5
802,Helio Varela,CPV,MF,3.01,50,21,4053.74
803,Evann Guessand,CIV,FW,3.01,26,13,2292.84
804,Bart Verbruggen,NED,GK,2.98,14,3,9898.41
805,Kou Itakura,JPN,DF,2.96,87,27,9861.42
806,Eberechi Eze,ENG,MF,2.95,19,9,2270.18
807,Thomas Partey,GHA,MF,2.95,123,26,10073.13
808,Kristoffer Nordfeldt,SWE,GK,2.94,8,1,9861.15
809,Luka Vuskovic,CRO,DF,2.94,81,21,7008.12
810,Sontje Hansen,CUW,FW,2.93,59,26,4910.75
811,Orlando Mosquera,PAN,GK,2.93,21,6,10029.15
812,Vozinha,CPV,GK,2.93,26,3,10060.82
813,Kojo Peprah Oppong,GHA,DF,2.92,7,3,899.65
814,Inaki Williams,GHA,FW,2.92,63,33,6985.3
815,Auston Trusty,USA,DF,2.9,23,7,1756.52
816,Tsuyoshi Watanabe,JPN,DF,2.89,77,22,7454.23
817,Saleh Hardani,IRN,DF,2.87,50,17,5086.11
818,Jeremy Doku,BEL,FW,2.87,96,33,8565.2
819,Matej Kovar,CZE,GK,2.86,19,2,14358.61
820,Jordy Caicedo,ECU,FW,2.85,7,4,659.8
821,Jurien Gaari,CUW,DF,2.84,85,36,9469.51
822,Christian Fassnacht,SUI,FW,2.83,31,14,1743.81
823,Ederson Silva,BRA,MF,2.81,34,17,2090.32
824,Shogo Taniguchi,JPN,DF,2.8,66,19,9237.88
825,Mehdi Ghayedi,IRN,FW,2.8,50,24,4683.23
826,Marin Pongracic,CRO,DF,2.79,94,41,9123.69
827,Khalid Alghannam,KSA,FW,2.78,10,4,790.29
828,Lionel Mpasi,COD,GK,2.74,21,2,9238.23
829,Joel Ordonez,ECU,DF,2.73,86,31,9330.08
830,Roshon Van Eijma,CUW,DF,2.73,18,5,1852.02
831,Hossein Kanani,IRN,DF,2.73,70,14,9376.53
832,Marco Friedl,AUT,DF,2.72,30,12,2757.1
833,Emiliano Martinez,ARG,GK,2.72,15,2,9272.47
834,Diogo Costa,POR,GK,2.7,11,3,9106.29
835,Yazeed Abulaila,JOR,GK,2.69,7,1,9365.56
836,Tomas Rodriguez,PAN,FW,2.68,9,3,509.3
837,Michael Gregoritsch,AUT,FW,2.68,85,33,8185.94
838,Niko Sigur,CAN,DF,2.67,32,11,2251.8
839,Jackson Porozo,ECU,DF,2.66,28,13,3226.38
840,Dominik Livakovic,CRO,GK,2.65,24,4,8834.5
841,Yassine Bounou,MAR,GK,2.65,12,1,13609.73
842,Jhon Cordoba,COL,FW,2.63,42,10,3413.15
843,Thibaut Courtois,BEL,GK,2.62,19,5,8858.16
844,Mojmir Chytil,CZE,FW,2.6,17,8,1627.26
845,Fernando Muslera,URU,GK,2.59,20,7,9030.68
846,Kamogelo Sebelebele,RSA,FW,2.59,27,11,1742.93
847,Camilo Vargas,COL,GK,2.58,19,6,8897.3
848,Vladimir Darida,CZE,MF,2.57,135,49,7507.52
849,Luca Zidane,ALG,GK,2.56,26,10,8683.83
850,Patrick Beach,AUS,GK,2.56,9,4,8763.72
851,Derrick Etienne,HAI,FW,2.56,26,8,1841.93
852,Hossam Abdelmaguid,EGY,DF,2.56,9,8,1047.86
853,Orbelin Pineda,MEX,MF,2.54,55,14,3297.15
854,Riechedly Bazoer,CUW,DF,2.54,60,15,8506.82
855,Max Crocombe,NZL,GK,2.54,14,2,8710.28
856,Hernan Galindez,ECU,GK,2.54,13,2,8563.11
857,Johny Placide,HAI,GK,2.51,16,4,12868.53
858,Alireza Beiranvand,IRN,GK,2.51,13,0,8566.52
859,Jonathan Osorio,CAN,MF,2.5,10,4,644.03
860,Cesar Huerta,MEX,FW,2.49,21,7,1580.4
861,Tshepang Moremi,RSA,FW,2.48,51,30,4272.24
862,Mohammed Alowais,KSA,GK,2.48,11,1,8483.62
863,Mathieu Choiniere,CAN,MF,2.46,132,43,7597.41
864,Alex Sandro,BRA,DF,2.41,31,8,1822.47
865,Benjamin Asare,GHA,GK,2.38,4,2,6402.05
866,David Zima,CZE,DF,2.36,23,9,2311.48
867,Neymar Jr,BRA,FW,2.36,33,8,2431.01
868,Lucas Mendes,QAT,DF,2.35,17,9,1535.0
869,Denis Visinsky,CZE,FW,2.33,92,46,6956.61
870,Ayoub El Kaabi,MAR,FW,2.33,108,59,8709.76
871,Yang Hyunjun,KOR,MF,2.31,37,21,2936.45
872,Miro Muheim,SUI,DF,2.31,18,7,1040.17
873,Almoez Ali,QAT,FW,2.3,38,11,2859.04
874,Igor Thiago,BRA,FW,2.3,95,43,7498.81
875,Kim Moonhwan,KOR,DF,2.29,109,52,8571.36
876,Armin Gigovic,BIH,MF,2.29,45,22,3998.32
877,Abdulaziz Hatem,QAT,MF,2.28,86,28,5826.99
878,Yassin Fortune,HAI,FW,2.25,24,5,1501.22
879,Ardon Jashari,SUI,MF,2.19,19,3,1008.65
880,Zeki Amdouni,SUI,FW,2.18,26,8,2065.85
881,Stepan Chaloupek,CZE,DF,2.18,141,46,10873.66
883,Castrop Jens,KOR,DF,2.16,40,32,5519.79
884,Guillermo Martinez,MEX,FW,2.15,76,37,7134.93
885,Amir Hadziahmetovic,BIH,MF,2.15,21,5,1349.67
886,Sofyan Amrabat,MAR,MF,2.14,164,48,11049.0
887,Aaron Hickey,SCO,DF,2.11,103,30,8361.39
888,David Doudera,CZE,DF,2.09,114,34,10486.58
889,Samed Bazdar,BIH,FW,2.09,28,13,3649.89
890,Mateo Chavez,MEX,DF,2.07,96,41,8450.23
891,Roger Ibanez,BRA,DF,2.07,65,30,5075.62
892,Denis Zakaria,SUI,MF,2.07,113,48,10678.9
