Posição,Jogador,País,Posição Campo,Passes,Precisão dos passes (%),Cruzamentos,Precisão dos cruzamentos (%),Tentativas de ruptura da linha defensiva,Precisão das rupturas da linha defensiva ((%)),Tentativas de mudança de direção do jogo,Precisão das mudanças de direção do jogo ((%))
402,Pavel Sulc,CZE,FW,51,76,1,100,3,0,0,0
402,Harry Souttar,AUS,DF,51,73,0,0,6,17,3,33
402,Matt Freese,USA,GK,51,61,0,0,1,0,0,0
405,Cody Gakpo,NED,FW,50,84,6,17,11,64,0,0
405,Odilon Kossounou,CIV,DF,50,98,0,0,1,100,0,0
405,Ali Abdi,TUN,DF,50,72,4,0,4,50,0,0
405,Sidny Lopes Cabral,CPV,DF,50,76,5,0,1,0,0,0
405,Nasser Aldawsari,KSA,MF,50,86,0,0,1,100,1,0
405,Yasin Ayari,SWE,MF,50,74,9,22,2,0,2,100
405,Lamine Yamal,ESP,FW,50,90,13,31,8,63,1,100
405,Esmir Bajraktarevic,BIH,FW,50,76,5,0,0,0,0,0
413,Akmal Mozgovoy,UZB,MF,49,82,0,0,4,50,1,100
413,Marvin Senaya,GHA,DF,49,82,5,20,4,75,1,100
413,Cristian Martinez,PAN,MF,49,80,10,0,7,29,1,0
413,Desire Doue,FRA,FW,49,84,0,0,2,50,0,0
413,Arthur Masuaku,COD,DF,49,76,11,18,4,75,2,100
413,Yazeed Abulaila,JOR,GK,49,57,0,0,2,50,0,0
413,Musab Aljuwayr,KSA,MF,49,76,3,67,4,25,0,0
413,Shogo Taniguchi,JPN,DF,49,100,1,0,0,0,0,0
413,Juninho Bacuna,CUW,MF,49,86,1,0,2,50,1,100
422,Dani Olmo,ESP,FW,48,90,0,0,0,0,0,0
422,Orkun Kokcu,TUR,MF,48,77,5,0,1,0,0,0
422,Lukas Provod,CZE,MF,48,77,2,50,3,100,0,0
422,Ruben Providence,HAI,FW,48,88,7,29,3,67,0,0
422,Ahmed Basil,IRQ,GK,48,71,0,0,2,0,0,0
422,Manuel Neuer,GER,GK,48,92,0,0,0,0,0,0
422,Theo Hernandez,FRA,DF,48,92,0,0,1,0,0,0
422,Kieran Tierney,SCO,DF,48,75,7,43,1,100,2,50
422,Jamal Musiala,GER,MF,48,71,2,0,6,67,0,0
431,Jaroslav Zeleny,CZE,DF,47,74,2,50,1,0,0,0
431,David Doudera,CZE,DF,47,72,4,25,3,0,0,0
431,Alvaro Fidalgo,MEX,MF,47,89,1,0,3,0,0,0
431,Juan Jose Caceres,PAR,DF,47,57,4,0,3,67,1,0
431,Hwang Heechan,KOR,MF,47,85,1,0,3,100,1,100
431,Abdulelah Alamri,KSA,DF,47,79,0,0,1,0,0,0
431,Mehdi Taremi,IRN,FW,47,87,2,0,2,0,0,0
431,Ehsan Haddad,JOR,DF,47,70,6,17,6,83,0,0
431,Yan Valery,TUN,DF,47,68,3,33,4,25,1,100
440,Mostafa Zico,EGY,MF,46,72,2,50,4,50,1,100
440,Noni Madueke,ENG,FW,46,85,7,57,5,80,0,0
440,Thibaut Courtois,BEL,GK,46,72,0,0,2,0,0,0
440,Zion Suzuki,JPN,GK,46,72,0,0,1,0,0,0
440,Saman Ghoddos,IRN,MF,46,70,0,0,3,67,2,100
445,Jamiro Monteiro,CPV,MF,45,84,1,100,2,50,0,0
445,Lee Taeseok,KOR,DF,45,87,9,33,4,75,1,100
445,Seko Fofana,CIV,MF,45,84,0,0,2,0,0,0
445,Ibrahim Sangare,CIV,MF,45,93,1,0,0,0,1,100
445,Alexander Bernhardsson,SWE,DF,45,80,3,0,3,67,0,0
445,Antonio Ruediger,GER,DF,45,93,0,0,2,50,0,0
445,Paul Wanner,AUT,MF,45,87,1,0,3,67,0,0
445,Rayan,BRA,FW,45,93,2,0,2,100,0,0
453,Raphinha,BRA,FW,44,68,10,30,4,25,0,0
453,Jayden Adams,RSA,MF,44,91,0,0,2,50,2,100
453,Livano Comenencia,CUW,MF,44,77,1,100,4,50,0,0
453,Fredrik Aursnes,NOR,MF,44,95,1,100,1,0,1,100
453,Tomas Soucek,CZE,MF,44,80,0,0,2,50,0,0
458,Eldor Shomurodov,UZB,FW,43,77,0,0,1,0,0,0
458,Jacob Italiano,AUS,DF,43,77,9,33,2,50,2,100
458,Caleb Yirenkyi,GHA,MF,43,84,0,0,3,33,0,0
458,Relebohile Mofokeng,RSA,FW,43,81,2,0,3,33,2,100
458,Kevin Pina,CPV,MF,43,74,0,0,1,0,2,50
458,Luka Vuskovic,CRO,DF,43,88,0,0,1,0,0,0
464,Alexander Sorloth,NOR,FW,42,79,0,0,3,100,0,0
464,Lukas Cerv,CZE,MF,42,86,1,0,2,0,1,100
464,Aaron Hickey,SCO,DF,42,90,1,0,1,100,0,0
464,Silvan Widmer,SUI,DF,42,83,3,33,1,100,1,100
464,Sultan Albrake,QAT,DF,42,79,3,33,3,0,1,100
464,Abdullah Alkhaibari,KSA,MF,42,81,0,0,0,0,0,0
464,Axel Tuanzebe,COD,DF,42,83,0,0,0,0,0,0
464,Nicolas Otamendi,ARG,DF,42,90,0,0,0,0,1,100
464,Fabinho,BRA,MF,42,98,0,0,0,0,0,0
464,Julio Enciso,PAR,FW,42,76,5,40,1,0,2,50
474,Brian Gutierrez,MEX,MF,41,88,1,0,1,100,0,0
474,Andres Cubas,PAR,MF,41,83,0,0,0,0,0,0
474,Mohammed Abu Alshamat,KSA,DF,41,80,3,0,1,0,1,0
474,Edmilson Junior,QAT,FW,41,80,4,25,7,43,0,0
474,Luca Jaquez,SUI,DF,41,76,2,0,4,50,0,0
474,Liam Millar,CAN,MF,41,71,8,25,7,57,0,0
480,Moise Bombito,CAN,DF,40,98,0,0,2,100,0,0
480,Hussein Ali,IRQ,DF,40,80,2,0,2,100,0,0
480,Diego Gomez,PAR,MF,40,78,1,0,2,50,1,100
480,Viktor Gyokeres,SWE,FW,40,85,1,100,4,100,0,0
480,Alex Baena,ESP,MF,40,88,8,25,4,75,0,0
480,Tahith Chong,CUW,MF,40,78,0,0,5,20,0,0
486,Amar Memic,BIH,MF,39,74,2,0,3,0,0,0
486,Mohammad Mohebbi,IRN,MF,39,69,0,0,2,50,1,0
486,Cristiano Ronaldo,POR,FW,39,82,0,0,2,50,0,0
486,Johan Manzambi,SUI,MF,39,74,5,20,5,60,0,0
486,Dan Ndoye,SUI,FW,39,82,6,0,5,60,0,0
486,Gilberto Mora,MEX,MF,39,92,1,0,2,50,1,100
492,Jose Luis Rodriguez,PAN,MF,38,76,15,13,2,50,2,50
492,Deveron Fonville,CUW,DF,38,71,0,0,3,33,0,0
492,Samir El Mourabet,MAR,MF,38,89,1,0,2,50,1,100
492,Chris Wood,NZL,FW,38,74,0,0,6,0,0,0
492,Ferran Torres,ESP,FW,38,79,4,0,4,50,0,0
492,Breel Embolo,SUI,FW,38,76,0,0,6,50,0,0
492,Azizjon Ganiev,UZB,MF,38,79,4,0,2,0,1,100
492,Crysencio Summerville,NED,FW,38,84,4,0,5,80,0,0
492,Tijjani Reijnders,NED,MF,38,76,8,50,1,100,0,0
501,Amadou Onana,BEL,MF,37,84,0,0,0,0,0,0
501,Amine Gouiri,ALG,FW,37,86,0,0,0,0,0,0
501,Jesper Karlstrom,SWE,MF,37,84,0,0,2,50,0,0
501,Benjamin Asare,GHA,GK,37,57,0,0,3,33,0,0
505,Nicolas Jackson,SEN,FW,36,81,0,0,1,0,0,0
505,Bernardo Silva,POR,MF,36,97,0,0,0,0,0,0
505,Bradley Barcola,FRA,FW,36,86,3,0,5,80,0,0
505,Anthony Gordon,ENG,FW,36,89,2,0,5,80,0,0
505,Riechedly Bazoer,CUW,DF,36,86,0,0,0,0,1,100
505,Raul Jimenez,MEX,FW,36,81,0,0,2,50,0,0
505,Maxi Araujo,URU,MF,36,86,14,50,4,75,0,0
505,Ali Olwan,JOR,FW,36,69,3,0,2,0,1,100
505,Ngalayel Mukau,COD,MF,36,78,0,0,1,100,0,0
514,Jalal Hassan,IRQ,GK,35,80,0,0,0,0,0,0
514,Ryan Christie,SCO,MF,35,83,1,100,1,100,0,0
514,Nicolas De La Cruz,URU,MF,35,91,4,50,3,33,2,100
514,Fabian Rieder,SUI,MF,35,94,5,0,2,100,1,100
514,Zeki Celik,TUR,DF,35,94,0,0,0,0,0,0
514,Djibril Sow,SUI,MF,35,86,0,0,3,67,1,100
520,Ermedin Demirovic,BIH,FW,34,74,0,0,5,80,0,0
520,Lawrence Shankland,SCO,FW,34,59,0,0,2,0,0,0
520,Feras Albrikan,KSA,FW,34,68,0,0,3,0,0,0
520,Ibrahim Bayesh,IRQ,MF,34,82,1,0,3,33,0,0
520,Nicolas Pepe,CIV,FW,34,88,2,0,2,100,0,0
520,Pathe Ciss,SEN,MF,34,91,0,0,0,0,4,75
520,Amad Diallo,CIV,FW,34,94,4,25,3,100,1,100
520,Omar Marmoush,EGY,FW,34,88,2,0,6,67,3,100
528,Edo Kayembe,COD,MF,33,82,2,0,1,0,0,0
528,Assim Madibo,QAT,MF,33,82,0,0,1,0,0,0
528,Homam Ahmed,QAT,DF,33,76,3,33,2,50,0,0
528,Lucas Bergvall,SWE,MF,33,88,0,0,1,100,0,0
528,Edin Dzeko,BIH,FW,33,67,2,50,3,67,1,100
528,Joshua Brenet,CUW,DF,33,73,0,0,2,0,0,0
528,Omar Alderete,PAR,DF,33,64,0,0,3,33,1,0
528,Sebastian Berhalter,USA,MF,33,76,0,0,4,75,0,0
528,Jordy Alcivar,ECU,MF,33,94,1,0,1,100,0,0
537,Miguel Almiron,PAR,MF,32,72,0,0,0,0,0,0
537,Connor Metcalfe,AUS,MF,32,75,6,17,3,67,0,0
537,Ismaila Sarr,SEN,FW,32,75,2,0,6,33,0,0
537,Mahmoud Almardi,JOR,FW,32,78,5,20,4,75,0,0
537,Abdulaziz Hatem,QAT,MF,32,81,0,0,2,50,0,0
537,Jassem Gaber,QAT,DF,32,78,0,0,1,100,1,100
537,Yoane Wissa,COD,FW,32,88,0,0,4,50,0,0
537,Marco Pasalic,CRO,FW,32,63,10,10,7,86,2,50
545,Marco Friedl,AUT,DF,31,97,0,0,0,0,0,0
545,Jacob Shaffelburg,CAN,MF,31,90,9,22,6,50,0,0
545,Benjamin Nygren,SWE,MF,31,94,5,20,2,50,0,0
545,Mohammad Abualnadi,JOR,DF,31,77,0,0,0,0,0,0
545,Yukinari Sugawara,JPN,DF,31,74,2,50,2,50,1,0
550,Castrop Jens,KOR,DF,30,90,4,25,2,100,1,100
550,Ryan Mendes,CPV,FW,30,83,1,0,0,0,0,0
550,Thapelo Maseko,RSA,FW,30,83,2,0,3,67,0,0
550,Antoine Semenyo,GHA,MF,30,80,2,0,3,67,0,0
550,Kwasi Sibo,GHA,MF,30,93,0,0,0,0,2,100
550,Dominique Simon,HAI,MF,30,73,1,100,2,0,0,0
550,Marcus Holmgren Pedersen,NOR,DF,30,83,3,67,1,0,0,0
550,Teun Koopmeiners,NED,MF,30,83,1,0,0,0,0,0
550,Harry Kane,ENG,FW,30,73,0,0,2,100,1,100
550,Juergen Locadia,CUW,FW,30,77,0,0,0,0,1,100
560,Matias Vina,URU,DF,29,79,2,0,0,0,0,0
560,Anis Hadj Moussa,ALG,FW,29,72,3,67,3,67,0,0
560,Elias Saad,TUN,FW,29,76,2,0,1,100,0,0
560,Mathieu Choiniere,CAN,MF,29,79,4,50,2,50,1,100
560,Rayan Cherki,FRA,MF,29,79,0,0,2,50,0,0
560,Hans Vanaken,BEL,MF,29,93,2,0,0,0,0,0
560,Mario Pasalic,CRO,MF,29,93,0,0,1,100,0,0
560,Utkir Yusupov,UZB,GK,29,59,0,0,2,0,1,100
568,Gavi,ESP,MF,28,93,2,0,1,100,1,100
568,Patrik Schick,CZE,FW,28,86,0,0,3,33,0,0
568,Ali Alhamadi,IRQ,FW,28,75,0,0,0,0,0,0
568,Ali Lajami,KSA,DF,28,79,0,0,1,100,3,67
568,Ayoub Aloui,QAT,DF,28,39,1,0,4,0,0,0
568,Folarin Balogun,USA,FW,28,68,2,0,3,67,0,0
568,Juan Quintero,COL,MF,28,71,2,0,5,60,3,100
568,Luis Chavez,MEX,MF,28,100,1,0,1,100,0,0
568,Antonio Nusa,NOR,FW,28,75,4,0,3,67,0,0
568,Thomas Partey,GHA,MF,28,75,0,0,2,100,0,0
578,Abbosbek Fayzullaev,UZB,MF,27,67,6,0,2,50,1,100
578,Phillip Mwene,AUT,DF,27,81,3,0,1,100,0,0
578,Jeremy Doku,BEL,FW,27,81,1,0,2,50,0,0
578,Gustavo Gomez,PAR,DF,27,89,0,0,0,0,0,0
583,Mateo Chavez,MEX,DF,26,88,1,0,2,50,0,0
583,Adam Hlozek,CZE,FW,26,69,1,100,1,100,0,0
583,Mikel Merino,ESP,MF,26,85,0,0,2,50,0,0
586,Abduvohid Nematov,UZB,GK,25,44,0,0,2,0,0,0
586,Husam Abudahab,JOR,DF,25,72,0,0,0,0,0,0
586,Kim Moonhwan,KOR,DF,25,88,0,0,0,0,0,0
586,Noah Sadiki,COD,MF,25,80,0,0,2,0,0,0
586,Gabriel Martinelli,BRA,FW,25,100,1,100,0,0,0,0
591,Federico Vinas,URU,FW,24,63,0,0,1,0,0,0
591,Baris Alper Yilmaz,TUR,FW,24,75,15,0,10,70,2,0
591,Jordan Ayew,GHA,FW,24,63,4,25,2,0,0,0
591,Joao Felix,POR,FW,24,79,1,0,3,33,0,0
591,Patrick Berg,NOR,MF,24,96,0,0,0,0,1,100
596,Charles De Ketelaere,BEL,FW,23,87,0,0,2,100,0,0
596,Besfort Zeneli,SWE,MF,23,96,1,0,1,100,0,0
596,Jason Geria,AUS,DF,23,78,1,0,0,0,0,0
596,Lautaro Martinez,ARG,FW,23,87,1,0,1,100,0,0
596,Enner Valencia,ECU,FW,23,83,0,0,0,0,0,0
596,Nilson Angulo,ECU,FW,23,91,3,67,6,67,0,0
596,Elisha Owusu,GHA,MF,23,87,3,33,1,0,0,0
596,Aymen Dahmen,TUN,GK,23,43,0,0,0,0,1,0
596,Mouhib Chamakh,TUN,GK,23,70,0,0,0,0,0,0
596,Ibrahim Mbaye,SEN,FW,23,96,3,0,3,67,0,0
596,Tsuyoshi Watanabe,JPN,DF,23,87,2,50,0,0,0,0
607,Mousa Altamari,JOR,FW,22,77,1,100,3,100,0,0
607,Aimar Sher,IRQ,MF,22,91,1,0,0,0,0,0
607,Charles Pickel,COD,MF,22,86,0,0,0,0,2,50
607,Oh Hyeongyu,KOR,FW,22,68,1,0,2,50,0,0
607,Stepan Chaloupek,CZE,DF,22,68,0,0,1,0,1,100
607,Mikel Oyarzabal,ESP,FW,22,64,4,25,2,50,1,0
607,Jeremy Antonisse,CUW,FW,22,77,2,50,2,0,0,0
607,Leo Ostigard,NOR,DF,22,86,0,0,0,0,2,0
607,Alexis Saelemaekers,BEL,MF,22,77,1,100,2,100,0,0
607,Iqraam Rayners,RSA,FW,22,86,2,0,3,33,0,0
607,Mauricio,PAR,MF,22,68,0,0,1,0,0,0
607,Christian Pulisic,USA,FW,22,86,2,50,3,67,0,0
607,Roger Ibanez,BRA,DF,22,100,0,0,1,100,0,0
607,Gonzalo Montiel,ARG,DF,22,91,0,0,0,0,0,0
621,Houssem Aouar,ALG,MF,21,100,0,0,1,100,0,0
621,Yeremy Pino,ESP,FW,21,86,1,0,0,0,0,0
621,Odiljon Xamrobekov,UZB,MF,21,86,0,0,1,0,0,0
621,Sherzod Nasrullaev,UZB,DF,21,71,1,0,1,0,0,0
621,Wilson Isidor,HAI,FW,21,86,0,0,1,100,0,0
621,Tani Oluwaseyi,CAN,FW,21,62,3,0,2,50,1,100
621,Oscar Bobb,NOR,MF,21,90,0,0,1,0,0,0
628,Mehdi Torabi,IRN,MF,20,85,2,0,1,100,0,0
628,Ehsan Hajisafi,IRN,DF,20,55,2,0,2,0,1,100
628,Rebin Sulaka,IRQ,DF,20,80,0,0,0,0,2,50
628,Nico Gonzalez,ARG,MF,20,75,1,0,1,0,0,0
628,Angelo Preciado,ECU,DF,20,65,5,0,3,33,0,0
628,Dylan Bronn,TUN,DF,20,80,0,0,0,0,1,0
628,Pape Matar Sarr,SEN,MF,20,90,0,0,0,0,0,0
628,Lenny Joseph,HAI,FW,20,65,0,0,3,33,1,100
628,Jakhongir Urozov,UZB,DF,20,80,0,0,1,100,2,100
637,Ben Old,NZL,MF,19,79,1,0,2,0,0,0
637,Deroy Duarte,CPV,MF,19,74,0,0,0,0,0,0
637,Romelu Lukaku,BEL,FW,19,79,0,0,1,100,0,0
637,Che Adams,SCO,FW,19,63,0,0,2,0,0,0
637,Deniz Undav,GER,FW,19,79,1,0,3,33,0,0
642,Andrej Kramaric,CRO,FW,18,89,2,0,2,50,0,0
642,Shahriyar Moghanloo,IRN,FW,18,61,2,0,2,50,0,0
642,Arya Yousefi,IRN,DF,18,89,0,0,0,0,0,0
642,Hossein Kanani,IRN,DF,18,94,0,0,0,0,1,0
642,Jurien Gaari,CUW,DF,18,56,0,0,0,0,0,0
642,Vladimir Darida,CZE,MF,18,78,0,0,1,0,0,0
642,Cyle Larin,CAN,FW,18,83,0,0,1,0,0,0
642,Julian Alvarez,ARG,FW,18,89,0,0,0,0,0,0
642,Obed Vargas,MEX,MF,18,89,0,0,2,0,0,0
642,Luis Suarez,COL,FW,18,78,0,0,0,0,0,0
642,Matias Galarza,PAR,MF,18,56,2,0,1,0,0,0
653,Kevin Rodriguez,ECU,FW,17,82,1,0,3,67,0,0
653,Alexander Prass,AUT,MF,17,94,3,0,3,33,0,0
653,Sasa Kalajdzic,AUT,FW,17,65,0,0,1,0,0,0
653,Cedric Bakambu,COD,FW,17,76,1,0,1,0,0,0
653,Ala Alhajji,KSA,MF,17,94,0,0,0,0,0,0
653,Ayase Ueda,JPN,FW,17,82,1,0,1,100,0,0
653,Frantzdy Pierrot,HAI,FW,17,76,0,0,0,0,0,0
653,Rani Khedira,TUN,MF,17,82,1,0,1,100,0,0
653,Laros Duarte,CPV,MF,17,82,0,0,2,50,0,0
653,Salih Ozcan,TUR,MF,17,100,0,0,0,0,0,0
653,Can Uzun,TUR,FW,17,88,0,0,0,0,0,0
653,Cristian Volpato,AUS,FW,17,88,4,25,4,75,0,0
665,Armin Gigovic,BIH,MF,16,81,0,0,0,0,1,0
665,Nestory Irankunda,AUS,FW,16,75,1,0,1,100,1,0
665,Carney Chukwuemeka,AUT,MF,16,88,0,0,0,0,0,0
665,Francisco Trincao,POR,FW,16,81,0,0,1,0,0,0
665,Erling Haaland,NOR,FW,16,56,0,0,3,33,0,0
665,Alan Minda,ECU,MF,16,75,2,0,1,0,0,0
665,Brian Rodriguez,URU,FW,16,81,13,8,5,60,0,0
665,Ismail Jakobs,SEN,DF,16,94,6,33,0,0,0,0
665,Ange Yoan Bonny,CIV,FW,16,88,3,33,0,0,0,0
665,Ali Jasim,IRQ,FW,16,94,3,0,3,100,1,100
665,Takefusa Kubo,JPN,MF,16,75,0,0,2,50,0,0
665,Aymen Hussein,IRQ,FW,16,75,0,0,3,67,0,0
665,Saleem Obaid,JOR,DF,16,69,0,0,0,0,0,0
678,Mohamed Manai,QAT,FW,15,47,0,0,3,33,0,0
678,Odeh Fakhoury,JOR,FW,15,73,1,0,0,0,1,100
678,Kerem Akturkoglu,TUR,FW,15,60,2,50,0,0,0,0
678,Louicius Deedson,HAI,FW,15,87,5,20,5,60,0,0
678,Sebastian Tounekti,TUN,MF,15,87,2,0,1,0,0,0
678,Ricardo Pepi,USA,FW,15,87,1,0,1,100,0,0
678,Marko Arnautovic,AUT,FW,15,73,1,0,0,0,0,0
685,Damian Bobadilla,PAR,MF,14,71,0,0,1,0,1,100
685,Neymar Jr,BRA,FW,14,86,4,25,1,0,0,0
685,Azarias Londono,PAN,FW,14,93,1,0,1,100,0,0
685,Timothy Weah,USA,FW,14,93,0,0,1,100,0,0
685,Yusuf Abdurisag,QAT,FW,14,64,0,0,3,0,0,0
685,Joris Kayembe,COD,DF,14,71,2,50,3,0,0,0
685,Hassan Alhaydos,QAT,FW,14,71,0,0,1,0,0,0
685,Amirhossein Hosseinzadeh,IRN,FW,14,71,0,0,3,67,1,100
685,Ahmed Qasem,IRQ,FW,14,93,1,0,1,100,0,0
685,Leon Goretzka,GER,MF,14,86,0,0,1,100,0,0
685,Bukayo Saka,ENG,FW,14,93,1,0,1,100,0,0
685,Rafael Leao,POR,FW,14,86,1,100,1,0,0,0
685,Jamie Leweling,GER,MF,14,79,3,0,1,0,0,0
685,Morgan Rogers,ENG,MF,14,64,1,0,3,67,0,0
685,Lawrence Ati Zigi,GHA,GK,14,71,0,0,0,0,0,0
685,Evidence Makgopa,RSA,FW,14,64,0,0,0,0,0,0
685,Jovane Cabral,CPV,MF,14,71,0,0,1,0,0,0
685,Niko Sigur,CAN,DF,14,100,3,33,2,100,1,100
685,Telmo Arcanjo,CPV,MF,14,86,1,100,0,0,1,100
685,Denis Visinsky,CZE,FW,14,100,0,0,0,0,0,0
685,Farrukh Sayfiev,UZB,DF,14,86,1,0,2,100,0,0
706,Eren Elmali,TUR,DF,13,100,1,0,0,0,0,0
706,Nico Williams,ESP,FW,13,85,2,0,3,67,0,0
706,Yang Hyunjun,KOR,MF,13,69,0,0,0,0,0,0
706,Ayumu Seko,JPN,DF,13,85,0,0,0,0,0,0
706,Saed Alrosan,JOR,DF,13,92,0,0,0,0,0,0
706,Jovo Lukic,BIH,FW,13,54,0,0,1,0,0,0
706,Alex Sandro,BRA,DF,13,100,0,0,0,0,0,0
706,Ismael Gharbi,TUN,MF,13,92,1,0,0,0,0,0
706,Ernest Nuamah,GHA,FW,13,69,0,0,1,0,1,100
706,Patrick Wimmer,AUT,FW,13,54,0,0,2,100,0,0
706,Nadiem Amiri,GER,MF,13,85,2,50,2,50,0,0
706,Andreas Schjelderup,NOR,MF,13,85,0,0,1,100,0,0
706,Michael Gregoritsch,AUT,FW,13,62,0,0,2,0,0,0
719,Marcus Rashford,ENG,FW,12,75,4,25,3,67,1,100
719,Donyell Malen,NED,FW,12,75,5,20,3,67,0,0
719,Memphis Depay,NED,FW,12,92,1,100,1,100,1,100
719,Tyler Bindon,NZL,DF,12,58,0,0,1,100,1,100
719,Nishan Velupillay,AUS,FW,12,50,0,0,0,0,0,0
719,Ryan Thomas,NZL,MF,12,67,1,0,1,0,0,0
719,Elliot Stroud,SWE,DF,12,83,2,50,2,100,0,0
719,Adil Boulbina,ALG,FW,12,100,0,0,0,0,0,0
719,Ahmed Alganehi,QAT,MF,12,92,2,100,0,0,0,0
719,Mory Diaw,SEN,GK,12,75,0,0,0,0,0,0
719,Yannick Semedo,CPV,MF,12,75,0,0,0,0,1,100
719,Chemsdine Talbi,MAR,MF,12,100,3,0,0,0,0,0
719,Bazoumana Toure,CIV,FW,12,58,2,0,0,0,0,0
719,Kamaldeen Sulemana,GHA,FW,12,83,1,100,3,67,1,100
719,Guillermo Martinez,MEX,FW,12,92,1,0,0,0,0,0
719,Jose Fajardo,PAN,FW,12,67,0,0,1,100,0,0
719,Luiz Henrique,BRA,FW,12,100,0,0,3,100,0,0
719,Jackson Porozo,ECU,DF,12,100,0,0,0,0,0,0
719,Richard Rios,COL,MF,12,75,0,0,0,0,1,100
738,Gustavo Velazquez,PAR,DF,11,64,1,0,0,0,1,100
738,Endrick,BRA,FW,11,100,0,0,0,0,0,0
738,Mohamed Toure,AUS,FW,11,82,0,0,2,50,0,0
738,Dostonbek Khamdamov,UZB,MF,11,82,2,50,1,0,0,0
738,Anthony Elanga,SWE,FW,11,82,5,0,2,50,0,0
738,Kristian Thorstvedt,NOR,MF,11,100,0,0,0,0,0,0
738,Lyndon Dykes,SCO,FW,11,64,1,0,4,25,0,0
738,Petar Musa,CRO,FW,11,64,0,0,3,33,0,0
738,Inaki Williams,GHA,FW,11,73,0,0,2,50,0,0
738,Zizo,EGY,FW,11,82,3,33,1,0,0,0
738,Abdul Fatawu,GHA,FW,11,82,3,33,4,75,1,100
738,Marko Farji,IRQ,FW,11,64,2,50,1,100,0,0
738,Nuno Da Costa,CPV,MF,11,64,1,0,4,25,0,0
738,Alireza Jahanbakhsh,IRN,MF,11,64,1,0,1,100,0,0
752,Dennis Hadzikadunic,BIH,DF,10,80,0,0,0,0,0,0
752,Mathew Leckie,AUS,FW,10,70,1,0,0,0,0,0
752,Cecilio Waterman,PAN,FW,10,70,0,0,1,0,0,0
752,Alexis Vega,MEX,FW,10,100,1,0,1,0,0,0
752,Giovanni Reyna,USA,MF,10,100,0,0,1,100,1,100
752,Alejandro Romero Gamarra,PAR,FW,10,60,0,0,0,0,1,100
752,Ayoub El Kaabi,MAR,FW,10,70,0,0,0,0,0,0
752,Simon Adingra,CIV,FW,10,90,1,100,0,0,0,0
752,Gilson Benchimol,CPV,FW,10,80,0,0,2,0,0,0
752,Iliman Ndiaye,SEN,FW,10,90,0,0,1,100,0,0
752,Dodi Lukebakio,BEL,FW,10,90,2,0,3,67,0,0
752,Eberechi Eze,ENG,MF,10,70,1,100,0,0,0,0
764,Arthur Theate,BEL,DF,9,100,0,0,0,0,0,0
764,Nathan Ake,NED,DF,9,89,0,0,0,0,0,0
764,Mehdi Ghayedi,IRN,FW,9,67,3,33,1,100,0,0
764,Eom Jisung,KOR,MF,9,100,3,67,2,100,0,0
764,Abdullah Alhamddan,KSA,FW,9,67,1,0,2,50,0,0
764,Elye Wahi,CIV,FW,9,56,0,0,2,0,0,0
764,Ayoube Amaimouni,MAR,FW,9,89,1,0,0,0,1,0
764,Habib Diarra,SEN,MF,9,89,0,0,0,0,0,0
764,Mohamed Hadj Mahmoud,TUN,MF,9,89,0,0,0,0,1,100
764,Leandro Paredes,ARG,MF,9,100,0,0,0,0,0,0
764,Danilo Santos,BRA,MF,9,78,0,0,1,100,0,0
764,Guillermo Ochoa,MEX,GK,9,44,0,0,2,50,0,0
764,Darwin Nunez,URU,FW,9,89,1,100,2,100,1,100
777,Anibal Godoy,PAN,MF,8,100,1,0,1,100,1,0
777,Ismael Diaz,PAN,MF,8,100,0,0,0,0,0,0
777,Santiago Gimenez,MEX,FW,8,38,0,0,0,0,0,0
777,Guus Til,NED,MF,8,88,0,0,1,0,0,0
777,David Raum,GER,DF,8,75,2,0,2,100,0,0
777,Jearl Margaritha,CUW,FW,8,100,0,0,0,0,0,0
777,Francis De Vries,NZL,DF,8,25,2,50,0,0,0,0
777,Ardon Jashari,SUI,MF,8,88,0,0,0,0,0,0
777,Tomas Chory,CZE,FW,8,88,0,0,1,0,0,0
777,Dzenis Burnic,BIH,MF,8,88,0,0,0,0,0,0
777,Khojiakbar Alijonov,UZB,DF,8,88,1,0,0,0,0,0
777,Jackson Irvine,AUS,MF,8,63,1,0,1,0,0,0
777,Derrick Etienne,HAI,FW,8,50,2,50,2,0,0,0
777,Soufiane Rahimi,MAR,FW,8,75,4,50,1,0,0,0
777,Mohamed Amoura,ALG,FW,8,88,0,0,0,0,0,0
777,Ali Alipour,IRN,FW,8,50,0,0,1,100,0,0
777,Jaouen Hadjam,ALG,DF,8,88,0,0,0,0,0,0
777,Nadhir Benbouali,ALG,FW,8,75,1,0,0,0,0,0
777,Ahmed Alaaeldin,QAT,FW,8,50,0,0,1,0,0,0
796,Garry Rodrigues,CPV,MF,7,71,1,100,0,0,0,0
796,Willy Semedo,CPV,MF,7,57,0,0,0,0,0,0
796,Zineddine Belaid,ALG,DF,7,86,0,0,1,100,0,0
796,Cho Guesung,KOR,FW,7,57,0,0,0,0,0,0
796,Gervane Kastaneer,CUW,FW,7,71,0,0,0,0,0,0
796,Antonio Sanabria,PAR,FW,7,71,0,0,0,0,0,0
796,Maghnes Akliouche,FRA,MF,7,71,2,0,0,0,0,0
796,Malo Gusto,FRA,DF,7,86,0,0,0,0,0,0
796,Gessime Yassine,MAR,MF,7,86,0,0,1,100,0,0
